country_of_origin,country_of_asylum,peak_refugees
Pakistan,Afghanistan,300385
Unknown ,Afghanistan,50
Tajikistan,Afghanistan,60000
Türkiye,Afghanistan,56
Iran (Islamic Rep. of),Afghanistan,41
Sri Lanka,Albania,50
Türkiye,Albania,150
Unknown ,Albania,200
China,Albania,150
Ukraine,Albania,9250
Iraq,Albania,203
Syrian Arab Rep.,Albania,34
North Macedonia,Albania,100
Bosnia and Herzegovina,Albania,45
Serbia and Kosovo,Albania,22324
Cote d'Ivoire,Algeria,81
Nigeria,Algeria,100
State of Palestine,Algeria,4020
Central African Rep.,Algeria,106
Guinea,Algeria,44
Cameroon,Algeria,154
Syrian Arab Rep.,Algeria,8742
Libya,Algeria,36
Sudan,Algeria,223
Niger,Algeria,22000
Sierra Leone,Algeria,30
Western Sahara,Algeria,173600
Yemen,Algeria,293
Dem. Rep. of the Congo,Algeria,202
Mali,Algeria,28000
Unknown ,Algeria,314
Congo,Algeria,30
Liberia,Algeria,39
Namibia,Angola,245
Dem. Rep. of the Congo,Angola,38516
Mauritania,Angola,324
Cote d'Ivoire,Angola,513
Guinea,Angola,167
Chad,Angola,195
Sudan,Angola,313
Somalia,Angola,288
Rwanda,Angola,507
Eritrea,Angola,83
Liberia,Angola,164
Congo,Angola,65
South Africa,Angola,2100
Sierra Leone,Angola,413
Iran (Islamic Rep. of),Argentina,34
Nicaragua,Argentina,33
Armenia,Argentina,126
Chile,Argentina,336
Viet Nam,Argentina,33
Haiti,Argentina,84
Ukraine,Argentina,121
Cuba,Argentina,345
Pakistan,Argentina,50
Dem. Rep. of the Congo,Argentina,29
Romania,Argentina,54
Senegal,Argentina,71
Colombia,Argentina,583
Lao PDR,Argentina,1344
Peru,Argentina,618
El Salvador,Argentina,58
Nigeria,Argentina,55
Russian Federation,Argentina,838
Venezuela (Bolivarian Republic of),Argentina,348
Cambodia,Argentina,51
Cote d'Ivoire,Argentina,37
Unknown ,Argentina,11735
Sri Lanka,Argentina,38
Algeria,Argentina,59
Liberia,Argentina,75
Sierra Leone,Argentina,75
India,Argentina,37
Iraq,Argentina,29
Bolivia (Plurinational State of),Argentina,65
Ghana,Argentina,64
Kazakhstan,Argentina,99
Syrian Arab Rep.,Argentina,450
Ukraine,Armenia,4790
Azerbaijan,Armenia,328000
Iraq,Armenia,1216
Yemen,Armenia,31
Haiti,Armenia,46
Russian Federation,Armenia,35
Lebanon,Armenia,33
Unknown ,Armenia,19000
Syrian Arab Rep.,Armenia,16611
Georgia,Armenia,6000
Iran (Islamic Rep. of),Armenia,220
Afghanistan,Armenia,29
Türkiye,Armenia,29
Libya,Australia,1245
Stateless,Australia,4702
Timor-Leste,Australia,251
Algeria,Australia,335
Russian Federation,Australia,3693
Viet Nam,Australia,8121
Zambia,Australia,40
Congo,Australia,649
Ghana,Australia,77
Eritrea,Australia,778
Lao PDR,Australia,291
Bahrain,Australia,97
China,Australia,2955
South Africa,Australia,74
Türkiye,Australia,846
Venezuela (Bolivarian Republic of),Australia,470
Kazakhstan,Australia,29
Rep. of Korea,Australia,46
Solomon Islands,Australia,58
Armenia,Australia,50
Sri Lanka,Australia,4787
Papua New Guinea,Australia,620
Saudi Arabia,Australia,211
Kuwait,Australia,432
Egypt,Australia,1564
Germany,Australia,32
Rwanda,Australia,317
Guinea,Australia,253
Malawi,Australia,37
Pakistan,Australia,5416
Bulgaria,Australia,25
Liberia,Australia,2307
Colombia,Australia,265
Iraq,Australia,12157
Nigeria,Australia,282
Thailand,Australia,231
Ethiopia,Australia,1931
Uganda,Australia,391
Iran (Islamic Rep. of),Australia,12701
Lebanon,Australia,548
Afghanistan,Australia,11932
Serbia and Kosovo,Australia,18452
Ukraine,Australia,7472
Yemen,Australia,262
Belarus,Australia,51
Albania,Australia,67
Zimbabwe,Australia,1021
United Rep. of Tanzania,Australia,513
State of Palestine,Australia,1275
Bosnia and Herzegovina,Australia,6791
Fiji,Australia,414
Israel,Australia,147
Mongolia,Australia,50
Sierra Leone,Australia,2103
Bangladesh,Australia,434
India,Australia,475
New Zealand,Australia,34
Dem. Rep. of the Congo,Australia,714
Mexico,Australia,29
Rep. of Moldova,Australia,60
Cambodia,Australia,1964
Cote d'Ivoire,Australia,169
Jordan,Australia,149
Nepal,Australia,205
Somalia,Australia,2396
Kenya,Australia,893
Myanmar,Australia,2558
Ecuador,Australia,262
El Salvador,Australia,1113
North Macedonia,Australia,29
Peru,Australia,89
Philippines,Australia,51
Tonga,Australia,55
Uzbekistan,Australia,60
Cameroon,Australia,55
Croatia,Australia,5158
Indonesia,Australia,1353
Sudan,Australia,21241
Dem. People's Rep. of Korea,Australia,30
Malaysia,Australia,1643
Syrian Arab Rep.,Australia,645
Unknown ,Australia,97915
Burundi,Australia,1478
China,Austria,779
Azerbaijan,Austria,425
Eritrea,Austria,563
Iran (Islamic Rep. of),Austria,7664
Egypt,Austria,231
Viet Nam,Austria,350
Bosnia and Herzegovina,Austria,74131
Uzbekistan,Austria,142
Bangladesh,Austria,382
Libya,Austria,167
Rwanda,Austria,91
Stateless,Austria,2471
Dem. Rep. of the Congo,Austria,450
Romania,Austria,4202
Myanmar,Austria,37
North Macedonia,Austria,168
Algeria,Austria,53
Lebanon,Austria,170
Afghanistan,Austria,46505
Venezuela (Bolivarian Republic of),Austria,214
Russian Federation,Austria,19577
United States of America,Austria,34
Bulgaria,Austria,172
Cote d'Ivoire,Austria,71
Nepal,Austria,47
Cameroon,Austria,246
Tunisia,Austria,61
Gambia,Austria,138
Ethiopia,Austria,297
Serbia and Kosovo,Austria,42918
Syrian Arab Rep.,Austria,105143
Angola,Austria,179
Rep. of Moldova,Austria,147
Tajikistan,Austria,304
Belarus,Austria,111
Colombia,Austria,41
Iraq,Austria,10340
Kenya,Austria,31
Albania,Austria,180
Georgia,Austria,819
Sierra Leone,Austria,47
Czechia,Austria,643
Nigeria,Austria,474
Congo,Austria,131
Türkiye,Austria,1329
Unknown ,Austria,40703
Kazakhstan,Austria,115
Uganda,Austria,45
