armed_conflict,unhcr,world_bank,earthquakes,nat_disasters,canonical
Central African Republic,Central African Rep.,Central African Republic,,,Central African Rep.
Laos,Lao People's Dem. Rep.,Lao PDR,,,Lao PDR
Bosnia-Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,Bosnia and Herzegovina
,Bahamas,"Bahamas, The",,,Bahamas
,Somalia,"Somalia, Fed. Rep.",,Somalia,Somalia
Iran,Iran (Islamic Rep. of),"Iran, Islamic Rep.",Iran,Iran,Iran (Islamic Rep. of)
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,,,United Kingdom of Great Britain and Northern Ireland
Venezuela,Venezuela (Bolivarian Republic of),"Venezuela, RB",,,Venezuela (Bolivarian Republic of)
Serbia (Yugoslavia),Serbia and Kosovo: S/RES/1244 (1999),Serbia,,,Serbia and Kosovo
,Kyrgyzstan,Kyrgyz Republic,,,Kyrgyzstan
,Dem. People's Rep. of Korea,"Korea, Dem. People's Rep.",,,Dem. People's Rep. of Korea
Cambodia (Kampuchea),Cambodia,Cambodia,Cambodia,Cambodia,Cambodia
,United States of America,United States,United States,United States,United States of America
,Rep. of Korea,"Korea, Rep.",,,Rep. of Korea
Myanmar (Burma),Myanmar,Myanmar,Myanmar,Myanmar,Myanmar
Moldova,Rep. of Moldova,Moldova,,,Rep. of Moldova
Syria,Syrian Arab Rep.,Syrian Arab Republic,,,Syrian Arab Rep.
,,,Taiwan,Taiwan,China
Russia (Soviet Union),Russian Federation,Russian Federation,Russia,Russia,Russian Federation
,Dominican Rep.,Dominican Republic,,,Dominican Rep.
,Gambia,"Gambia, The",,,Gambia
Tanzania,United Rep. of Tanzania,Tanzania,,,United Rep. of Tanzania
,Micronesia (Federated States of),"Micronesia, Fed. Sts.",,,Micronesia (Federated States of)
Ivory Coast,Cote d'Ivoire,Cote d'Ivoire,,,Cote d'Ivoire
Turkey,Türkiye,Turkiye,Turkey,Turkey,Türkiye
Yemen (North Yemen),Yemen,"Yemen, Rep.",,,Yemen
,Bolivia (Plurinational State of),Bolivia,,,Bolivia (Plurinational State of)
,Slovakia,Slovak Republic,,,Slovakia
,,Kosovo,,,Serbia and Kosovo
DR Congo (Zaire),Dem. Rep. of the Congo,"Congo, Dem. Rep.",,,Dem. Rep. of the Congo
,Viet Nam,Viet Nam,,Vietnam,Viet Nam
