country_of_origin,country_of_origin_iso,region,subregion,nb_years,cumulative_disaster_impact,avg_population,impact_per_capita,avg_yearly_impact_share,total_drought,total_flood,total_storm,total_earthquake,total_wildfire,total_mass_movement,total_extreme_temp,total_biological,total_idps,total_refugees,dominant_disaster_type
Colombia,COL,Americas,Latin America and the Caribbean,36,15006460,43175659.42,0.34756759254514613,0.00942626306138696,3,92,12,16,4,37,0,7,123440458,5411261,Flood
Venezuela (Bolivarian Republic of),VEN,Americas,Latin America and the Caribbean,34,2604867,26859742,0.096980343295925933,0.0038725708363116368,1,38,6,2,0,4,0,3,0,1943107,Flood
Aruba,ABW,,,3,,107680.33,,,0,0,0,0,0,0,0,0,0,0,Drought
Afghanistan,AFG,Asia,Southern Asia,36,37845073,27163396.36,1.3932378888444699,0.03304012962828505,6,104,9,32,1,28,9,22,36983650,116581084,Flood
Benin,BEN,Africa,Sub-Saharan Africa,33,2225049,9819905.33,0.22658558555011191,0.010614899577936647,0,18,2,0,1,0,0,22,44864,13053,Biological
Bangladesh,BGD,Asia,Southern Asia,36,265592321,146113645.5,1.817710591581948,0.051326215288330292,1,74,116,8,0,6,23,19,0,698112,Storm
China,CHN,Asia,Eastern Asia,36,3023121029,1310104444,2.3075420000636226,0.066203317460763952,34,271,291,145,7,80,13,5,0,5249711,Storm
India,IND,Asia,Southern Asia,36,1461976300,1186971260.44,1.2316863505630149,0.035569192244511,7,248,135,16,3,48,43,41,0,476140,Flood
Iran (Islamic Rep. of),IRN,Asia,Southern Asia,36,58499771,74885790.61,0.78118653115108,0.023669684884526563,2,74,18,75,2,4,0,2,0,3827660,Earthquake
Iraq,IRQ,Asia,Western Asia,36,7277832,30871750.14,0.23574406916542692,0.010012968997936285,2,16,4,2,0,0,0,5,38617565,26800453,Flood
Pakistan,PAK,Asia,Southern Asia,36,124071815,186004481.17,0.66703669837302026,0.017898395987345137,2,103,28,25,1,22,18,14,8504448,2253858,Flood
Tajikistan,TJK,Asia,Central Asia,34,6822040,7754401.91,0.87976353013761643,0.031663039465085321,2,34,2,14,0,15,3,7,577985,913033,Flood
Türkiye,TUR,Asia,Western Asia,36,22902509,71631234,0.3197279695055929,0.0094356949199202733,0,39,12,45,7,9,7,1,0,3519738,Earthquake
Angola,AGO,Africa,Sub-Saharan Africa,36,9326065,22804456.86,0.40895799697400032,0.011809364728372178,7,44,0,0,0,1,0,17,1040036,6368775,Flood
Burundi,BDI,Africa,Sub-Saharan Africa,36,4993914,8999045.78,0.55493817048158134,0.028343795206072487,6,32,8,1,0,3,0,15,3162312,12780453,Flood
Central African Rep.,CAF,Africa,Sub-Saharan Africa,36,2649629,4260646.67,0.6218842366651699,0.018930850285464252,1,20,10,0,3,0,0,12,8346136,8740982,Flood
Chad,TCD,Africa,Sub-Saharan Africa,36,14415389,11951350.67,1.2061723734879393,0.039139413064686865,7,23,1,0,0,1,0,22,3385679,1921017,Flood
Congo,COG,Africa,Sub-Saharan Africa,35,2876004,4242218.4,0.67794812261433779,0.023806692629769866,0,16,1,0,0,0,0,20,694788,528697,Biological
Dem. Rep. of the Congo,COD,Africa,Sub-Saharan Africa,36,31707973,67718361.56,0.46823302087701962,0.0099892118975550923,1,50,6,4,3,12,0,79,70385805,16940850,Biological
Comoros,COM,Africa,Sub-Saharan Africa,33,798368,654390.64,1.2200174569068214,0.10402241557046338,0,2,5,1,0,0,0,6,0,17666,Biological
Eritrea,ERI,Africa,Sub-Saharan Africa,36,5622688,2714002.83,2.0717325460910536,0.6290625976946802,3,2,1,0,0,0,0,2,1100000,12719848,Drought
Ethiopia,ETH,Africa,Sub-Saharan Africa,36,87456509,86949383.25,1.0058324249240722,0.030648489239494155,12,53,1,2,1,10,0,26,21749782,5208829,Flood
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,36,307717,1531005.42,0.20099014454825848,0.016289931419516346,2,4,3,0,1,0,0,7,195550,75953,Biological
Guinea,GIN,Africa,Sub-Saharan Africa,34,817646,10439954.35,0.078318924811165508,0.002870059474162725,1,17,1,0,1,1,0,16,0,459709,Flood
Haiti,HTI,Americas,Latin America and the Caribbean,36,18921224,9410340.53,2.0106843045846921,0.059804687001311217,5,53,39,4,0,1,0,8,2782267,1087531,Flood
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,35,96785,21952454.89,0.004408846322831235,0.00022076128781600373,0,15,0,0,0,2,0,13,3883338,1078003,Flood
Liberia,LBR,Africa,Sub-Saharan Africa,36,1663535,3748963.33,0.44373200057971579,0.038404457802677011,0,8,2,0,0,0,1,13,3123797,8475393,Biological
Mauritania,MRT,Africa,Sub-Saharan Africa,36,9341854,3351895.78,2.7870359400593938,0.11176546626924697,8,19,3,0,0,0,0,4,0,1628955,Flood
Namibia,NAM,Africa,Sub-Saharan Africa,35,5472917,2133544.71,2.5651756737764324,0.10259533861468778,9,18,0,0,0,0,0,6,0,31859,Flood
Nigeria,NGA,Africa,Sub-Saharan Africa,36,36977966,160200219.28,0.23082344185735706,0.00588837852780879,1,62,7,0,0,2,2,62,30920760,4048043,Flood
South Africa,ZAF,Africa,Sub-Saharan Africa,36,31862278,51921866.08,0.61365818302566055,0.01784935780923929,7,49,32,4,11,1,3,6,0,60050,Flood
Rwanda,RWA,Africa,Sub-Saharan Africa,36,2220866,10051589.5,0.2209467467806957,0.010388121566559137,3,27,2,2,0,5,0,11,946877,10647691,Flood
