country_iso,year,disaster_events,disaster_deaths,disaster_affected
JAM,1990,1,,300
IDN,1990,7,280,40576
MOZ,1990,2,694,4000
UGA,1990,3,197,1170
NPL,1990,2,180,6300
TZA,1990,3,389,162868
IND,1990,14,2509,4120000
VNM,1990,5,384,512308
GTM,1990,1,200,
VEN,1990,1,74,9506
ZMB,1990,1,85,667
PHL,1990,13,3351,8918873
COK,1990,2,8,1200
CMR,1990,2,118,187072
USA,1990,24,214,14218
NGA,1990,1,60,
MWI,1990,1,,2800000
ESP,1990,3,9,6000000
PER,1990,7,294,2307400
GRC,1990,4,4,61
NER,1990,1,,1630000
SWZ,1990,1,,250000
SDN,1990,2,,608000
BFA,1990,1,,2600000
BOL,1990,1,,283160
YUG,1990,2,,20900
ITA,1990,5,27,2716
MNG,1990,2,36,
AUS,1990,4,12,6800
BGR,1990,1,1,
SUN,1990,9,67,47996
IRN,1990,4,40042,732400
VUT,1990,3,,2
CRI,1990,2,1,14609
ECU,1990,1,4,6510
ZAF,1990,2,12,6
ROU,1990,1,9,700
CHN,1990,18,1324,48277041
GBR,1990,7,83,
PNG,1990,1,,
FJI,1990,3,,6000
PAK,1990,3,40,290
KEN,1990,2,44,
NIC,1990,2,4,106411
BRA,1990,2,24,2800
COL,1990,4,10,20625
BLZ,1990,2,,
ARG,1990,1,21,2000
CHL,1990,1,,2500
CUB,1990,2,4,11000
PRY,1990,1,,15000
TUR,1990,2,69,4500
BGD,1990,8,1041,2070170
MEX,1990,3,463,17900
LKA,1990,2,33,440000
CAN,1990,1,8,
TUN,1990,1,37,152000
ETH,1990,1,,350000
KOR,1990,3,194,189260
COD,1990,1,23,27500
LSO,1990,1,22,
HND,1990,1,5,48000
JPN,1990,3,67,148366
FRA,1990,9,62,
AFG,1990,1,144,
LBR,1990,1,,1000000
AUT,1990,5,3,
FIN,1990,2,,
SWE,1990,2,,
LUX,1990,6,,
IRL,1990,3,2,
CHE,1990,4,5,
DEU,1990,6,64,
BEL,1990,6,16,
DNK,1990,3,3,
NLD,1990,6,20,
NOR,1990,2,,
POL,1990,1,,
WSM,1990,1,8,195000
NIU,1990,1,,200
HTI,1990,1,,
GLP,1990,1,,
TWN,1990,2,5,20000
TON,1990,1,1,3103
TTO,1990,1,,1000
TKL,1990,1,,102
TUV,1990,1,,700
MSR,1990,1,,
KNA,1990,1,,
THA,1990,1,36,
BHS,1990,1,,
TCA,1990,1,,
GRD,1990,1,,1000
ATG,1990,1,,
MTQ,1990,1,8,1500
UGA,1991,1,100,
PER,1991,5,9815,330638
COL,1991,6,457,15121
NGA,1991,2,7689,11200
PAN,1991,4,85,42214
CIV,1991,1,16,50
GHA,1991,2,25,2000000
IDN,1991,12,524,279878
GTM,1991,3,217,50690
TZA,1991,3,574,801733
RWA,1991,1,32,214
ZMB,1991,2,,1713154
SDN,1991,2,12,8600000
ECU,1991,1,343,15131
CHN,1991,13,5392,218875483
NER,1991,2,2842,90147
CMR,1991,2,310,1543
SLV,1991,1,155,5625
CHL,1991,4,142,146051
DZA,1991,1,,204
CAN,1991,2,18,171
KEN,1991,2,26,2700200
BOL,1991,1,329,17665
NIC,1991,2,2,381
VEN,1991,1,18,967
BRA,1991,4,240,34840
MEX,1991,4,88,59000
BFA,1991,1,37,
TCD,1991,2,1301,12218
IND,1991,11,2826,8779383
BGD,1991,8,142134,20037149
NPL,1991,3,1391,45988
MYS,1991,1,263,3750
COD,1991,1,500,
MOZ,1991,1,,3300000
ZAF,1991,2,5,
MLI,1991,1,,302000
THA,1991,4,55,4410812
USA,1991,36,132,3400
NAM,1991,1,,250000
ZWE,1991,1,,5000000
AUS,1991,3,,408
PRT,1991,1,,
ESP,1991,1,,
AFG,1991,6,1427,146600
IRQ,1991,1,20,500
SUN,1991,8,367,298500
CRI,1991,5,48,195590
YEM,1991,2,10,70039
GEO,1991,1,8,3740
IRN,1991,6,78,216515
ROU,1991,3,108,20850
MMR,1991,2,23,360136
PAK,1991,4,872,205044
ETH,1991,1,13,
ITA,1991,1,,7000
PHL,1991,12,6793,2614553
COM,1991,1,,200
JPN,1991,6,144,101148
ARG,1991,1,,63200
